m_urn,age,gender,ethnicity,nationality,n_followers
urn:li:member:170309,36,Male,White,celtic_english,1194
urn:li:member:192263,32,Male,White,hispanic,5589
urn:li:member:75098244,34,Female,White,celtic_english,752
urn:li:member:38844529,52,Male,White,celtic_english,679
urn:li:member:1071514,63,Female,White,celtic_english,1545
urn:li:member:63175832,39,Female,White,european,2397
urn:li:member:41798239,39,Male,White,south_asian,260
urn:li:member:160656546,53,Male,White,celtic_english,317
urn:li:member:6833316,45,Female,Asian,hispanic,600
urn:li:member:60228832,34,Male,White,south_asian,204
urn:li:member:191175645,38,Male,White,south_asian,7220
urn:li:member:244984318,57,Female,White,celtic_english,541
urn:li:member:106192296,36,Male,White,nordic,657
urn:li:member:95305369,19,Female,Asian,east_asian,501
urn:li:member:253031702,52,Male,White,hispanic,358
urn:li:member:91817050,48,Male,White,hispanic,261
urn:li:member:59741127,33,Male,Black,muslim,1846
urn:li:member:45973067,51,Female,White,celtic_english,443
urn:li:member:70230848,25,Male,White,south_asian,467
urn:li:member:6227101,38,Male,White,celtic_english,999
urn:li:member:275654667,36,Female,Asian,east_asian,867
urn:li:member:3723255,44,Female,White,european,1271
urn:li:member:124812404,32,Female,Black,east_asian,240
urn:li:member:158626723,37,Female,White,greek,1119
urn:li:member:177515028,59,Male,Black,celtic_english,1345
urn:li:member:48673006,46,Male,White,south_asian,453
urn:li:member:6698728,41,Male,White,south_asian,878
urn:li:member:6321947,46,Male,White,hispanic,0
urn:li:member:23603575,63,Male,White,celtic_english,428
urn:li:member:173180757,37,Male,White,celtic_english,183
urn:li:member:24358,31,Male,White,east_asian,736
urn:li:member:18413262,25,Male,White,south_asian,995
urn:li:member:63414273,37,Male,White,south_asian,555
urn:li:member:265509366,43,Male,Asian,celtic_english,201
urn:li:member:100714765,36,Male,White,hispanic,837
urn:li:member:153295878,47,Male,White,celtic_english,671
urn:li:member:23827092,54,Male,Asian,celtic_english,323
urn:li:member:597414,54,Male,White,celtic_english,222
urn:li:member:2959305,39,Male,Asian,hispanic,1021
urn:li:member:132382950,34,Male,White,muslim,807
urn:li:member:6167570,1,Male,White,european,875
urn:li:member:12198281,43,Male,Asian,celtic_english,683
urn:li:member:358863765,31,Female,Asian,east_asian,115
urn:li:member:164811647,43,Female,White,hispanic,52
urn:li:member:121947669,61,Male,White,celtic_english,862
urn:li:member:12394907,44,Female,White,celtic_english,792
urn:li:member:2880111,56,Male,White,european,1305
urn:li:member:8884628,53,Female,White,celtic_english,445
urn:li:member:32583331,28,Male,Black,celtic_english,1040
urn:li:member:18997078,58,Male,White,european,1837
urn:li:member:33986070,42,Male,Black,hispanic,344
urn:li:member:7076724,28,Male,White,hispanic,642
urn:li:member:26515260,49,Female,White,south_asian,693
urn:li:member:33924370,45,Male,White,muslim,685
urn:li:member:36013606,54,Male,White,celtic_english,828
urn:li:member:27263355,44,Male,White,south_asian,1434
urn:li:member:38883794,51,Male,White,european,1642
urn:li:member:187915230,44,Male,White,hispanic,438
urn:li:member:102946968,64,Male,White,nordic,560
urn:li:member:49118164,56,Male,White,european,687
urn:li:member:43034788,42,Female,Asian,celtic_english,391
urn:li:member:20849957,49,Male,White,south_asian,474
urn:li:member:143993656,50,Male,White,celtic_english,376
urn:li:member:21104137,72,Male,White,celtic_english,851
urn:li:member:6276960,67,Male,White,celtic_english,542
urn:li:member:548796,62,Male,Asian,east_asian,197
urn:li:member:13567660,44,Female,White,east_asian,2162
urn:li:member:156695996,32,Female,White,south_asian,277
urn:li:member:60882198,28,Male,White,european,220
urn:li:member:3623964,27,Female,Black,celtic_english,1323
urn:li:member:19140527,28,Male,White,south_asian,409
urn:li:member:289251276,45,Male,White,muslim,831
urn:li:member:6982171,27,Male,Black,south_asian,1557
urn:li:member:55127835,61,Female,White,european,1094
urn:li:member:6703833,43,Male,Black,celtic_english,799
urn:li:member:79121956,38,Female,Asian,celtic_english,395
urn:li:member:27777622,41,Male,White,muslim,6458
urn:li:member:175009823,38,Male,White,celtic_english,376
