m_urn,beauty,beauty_female,beauty_male,blur,blur_gaussian,blur_motion,face_quality,smile,glass,head_pitch,head_roll,head_yaw,mouth_close,mouth_open,mouth_mask,mouth_other,skin_acne,skin_dark_circle,skin_health,skin_stain
urn:li:member:202636217,39.028,46.069,39.028,1.089,1.089,1.089,91.33,88.232,None,0.7489217,4.6198754,4.837916,0.0,100.0,0.0,0.0,0.045,0.7,5.727,6.87
urn:li:member:155572300,64.406,64.406,59.256,42.607,42.607,42.607,22.176,75.386,None,3.0462515,3.0445652,7.581712,0.124,99.876,0.0,0.0,3.029,3.847,60.268,6.085
urn:li:member:726921,60.807,64.047,60.807,39.674,39.674,39.674,2.462,65.142,None,5.6102443,8.288327,-20.832672,0.021,42.918,0.0,57.061,0.276,1.211,10.474,12.02
urn:li:member:7092218,69.331,69.898,69.331,6.159,6.159,6.159,88.922,86.236,Normal,3.9596813,12.164067,-4.406178,100.0,0.0,0.0,0.0,15.854,9.54,5.504,73.623
urn:li:member:275458,49.714,53.963,49.714,94.81,94.81,94.81,0.006,93.379,None,-6.590187,-13.710245,19.399061,0.0,100.0,0.0,0.0,10.601,5.308,2.892,61.166
urn:li:member:7975734,34.155,45.812,34.155,0.556,0.556,0.556,93.893,57.108,None,2.3894844,-3.0949159,1.2608955,99.986,0.014,0.0,0.0,3.875,6.517,0.787,6.765
urn:li:member:7618682,36.056,45.697,36.056,0.56,0.56,0.56,89.769,97.475,None,4.7483926,2.3916652,5.276214,0.003,99.997,0.0,0.0,2.868,2.683,6.703,12.806
urn:li:member:18000014,57.727,65.083,57.727,0.446,0.446,0.446,93.673,98.866,None,4.0860796,-2.4296768,1.000919,2.877,97.123,0.0,0.0,0.579,1.196,18.783,17.072
urn:li:member:115495136,61.979,66.355,61.979,82.657,82.657,82.657,0.006,64.002,Normal,-11.530887,5.977731,-22.990082,99.996,0.0,0.0,0.004,5.165,2.994,3.512,18.236
urn:li:member:10521862,35.71,41.244,35.71,1.271,1.271,1.271,94.532,95.777,None,-0.4252211,-8.263742,0.33501136,0.0,100.0,0.0,0.0,9.802,4.054,2.251,8.949
urn:li:member:15893780,47.869,57.512,47.869,5.274,5.274,5.274,29.6,26.818,Normal,-8.825795,-10.326551,17.43785,99.994,0.002,0.001,0.003,2.269,6.486,5.267,4.071
urn:li:member:19628998,84.068,88.611,84.068,0.179,0.179,0.179,92.653,97.408,None,2.2891088,-8.330256,3.3104928,0.0,100.0,0.0,0.0,0.437,1.278,33.894,3.5
urn:li:member:117630662,81.944,83.519,81.944,0.364,0.364,0.364,91.208,7.624,None,3.4322085,-4.1890745,4.4896626,99.998,0.002,0.0,0.0,11.7,8.562,7.293,8.779
urn:li:member:30427240,70.154,76.907,70.154,7.626,7.626,7.626,89.147,23.653,None,-9.66917,-2.5215402,0.62842435,99.996,0.0,0.0,0.004,2.387,0.549,21.856,9.699
urn:li:member:7523707,61.988,64.931,61.988,0.393,0.393,0.393,89.965,92.348,Normal,-2.3119233,-2.2601767,5.839118,0.0,100.0,0.0,0.0,8.53,0.843,6.378,60.955
urn:li:member:28180579,56.557,56.557,52.144,0.641,0.641,0.641,41.286,73.798,Normal,6.5936246,-0.8980853,-16.601181,0.0,100.0,0.0,0.0,0.359,1.337,47.683,3.241
urn:li:member:2573310,59.939,63.642,59.939,0.392,0.392,0.392,83.15,77.263,Normal,-4.566488,14.475378,8.955547,2.75,0.494,0.0,96.756,9.938,55.689,1.21,23.646
urn:li:member:396750,43.997,56.32,43.997,74.232,74.232,74.232,0.006,98.346,None,5.799738,-7.7900276,11.191587,3.92,0.034,0.001,96.045,11.989,77.877,1.801,7.622
urn:li:member:87492019,56.623,56.623,53.776,0.041,0.041,0.041,66.072,84.352,None,10.255284,7.7398343,12.140152,0.022,99.977,0.0,0.001,5.624,9.071,6.195,14.779
urn:li:member:9314663,70.701,77.712,70.701,2.157,2.157,2.157,92.608,95.684,None,5.092055,3.1878223,-1.5312841,0.0,100.0,0.0,0.0,61.241,27.002,1.314,67.707
urn:li:member:3551331,43.257,46.221,43.257,0.875,0.875,0.875,77.071,87.524,Normal,0.48894078,-3.1286967,11.425979,0.005,99.973,0.0,0.023,1.657,2.621,3.705,16.512
urn:li:member:3867915,46.178,45.761,46.178,0.051,0.051,0.051,93.863,31.233,None,-2.861891,-0.8257821,1.3532312,6.994,0.001,0.0,93.006,36.449,4.311,0.504,94.439
urn:li:member:29420550,53.08,53.08,50.49,0.779,0.779,0.779,87.173,84.442,None,5.1704392,-9.173559,6.8294163,99.995,0.001,0.001,0.004,15.514,6.961,78.127,2.298
urn:li:member:52965653,51.682,51.815,51.682,87.99,87.99,87.99,0.006,70.338,Dark,-2.7514963,-6.718947,-41.00215,0.001,0.0,0.0,99.999,22.504,7.423,0.642,19.898
