m_urn,emo_anger,emo_disgust,emo_fear,emo_happiness,emo_neutral,emo_sadness,emo_surprise
urn:li:member:7315057,7.621,0.609,2.511,13.095,44.777,30.176,1.211
urn:li:member:110331172,0.064,0.095,0.064,91.804,3.964,0.064,3.943
urn:li:member:7538968,12.271,0.015,0.016,87.64,0.023,0.021,0.015
urn:li:member:11468397,0.0,0.033,0.0,99.961,0.0,0.004,0.0
urn:li:member:143683822,0.001,0.0,0.013,99.985,0.0,0.0,0.001
urn:li:member:16884784,0.0,0.0,0.0,99.998,0.001,0.0,0.0
urn:li:member:52084952,0.434,0.146,31.315,0.146,43.865,19.497,4.597
urn:li:member:7353422,0.012,0.012,0.012,95.139,2.057,0.012,2.754
urn:li:member:74373444,0.0,0.097,0.0,99.903,0.0,0.0,0.0
urn:li:member:113489739,2.696,0.172,0.172,0.516,89.047,0.652,6.744
urn:li:member:25339559,0.066,0.022,0.001,0.009,99.747,0.001,0.154
urn:li:member:13534262,4.173,35.864,0.017,57.776,2.136,0.017,0.017
urn:li:member:21241682,0.005,3.234,0.005,96.522,0.218,0.012,0.005
urn:li:member:17623484,0.451,25.329,0.012,73.22,0.11,0.012,0.866
urn:li:member:78429115,0.0,0.021,0.0,99.977,0.0,0.0,0.002
urn:li:member:20209962,0.01,0.003,0.003,24.458,75.519,0.003,0.004
urn:li:member:214836362,0.017,32.147,0.017,66.914,0.075,0.335,0.494
urn:li:member:77655887,0.03,0.112,0.281,0.364,40.687,0.03,58.498
urn:li:member:107007325,0.069,0.19,0.365,78.764,0.037,20.538,0.037
urn:li:member:187448889,0.004,0.004,0.249,98.654,0.004,1.002,0.083
urn:li:member:10923126,0.312,0.047,0.079,2.673,96.416,0.366,0.107
urn:li:member:76117102,0.0,0.129,0.0,0.0,99.835,0.034,0.0
urn:li:member:288599693,0.008,0.134,0.008,94.699,0.239,4.861,0.052
urn:li:member:7184877,0.001,0.0,0.0,99.952,0.002,0.045,0.0
urn:li:member:53715494,0.07,0.001,0.0,99.928,0.0,0.0,0.0
urn:li:member:62707538,0.004,0.018,0.148,99.743,0.004,0.004,0.079
urn:li:member:25488199,0.189,0.003,0.008,99.493,0.299,0.004,0.004
urn:li:member:4351398,0.004,0.034,0.004,7.811,92.108,0.03,0.009
urn:li:member:15678940,0.028,0.076,0.002,99.633,0.26,0.0,0.0
urn:li:member:50985438,0.013,1.897,0.018,97.881,0.013,0.013,0.166
urn:li:member:15273756,0.003,0.001,0.004,66.723,33.267,0.001,0.001
urn:li:member:84777206,3.103,0.003,0.003,95.677,1.193,0.003,0.018
urn:li:member:1784635,0.0,0.0,0.027,99.973,0.0,0.0,0.0
urn:li:member:671916,0.879,94.904,0.001,0.006,0.001,0.001,4.208
urn:li:member:59536658,0.001,0.0,0.0,0.005,99.989,0.005,0.0
urn:li:member:60054662,0.641,0.023,0.005,99.315,0.006,0.005,0.005
urn:li:member:25843740,0.0,0.038,0.001,99.95,0.005,0.0,0.005
urn:li:member:8779383,0.007,0.002,0.0,0.026,99.964,0.0,0.0
urn:li:member:2047927,0.0,0.0,0.002,99.998,0.0,0.0,0.0
urn:li:member:76386394,0.0,0.0,0.0,99.891,0.096,0.011,0.0
urn:li:member:48222764,0.015,0.065,0.003,99.914,0.001,0.001,0.001
urn:li:member:25161596,0.115,1.071,0.669,88.512,0.222,0.115,9.295
urn:li:member:807777,0.004,0.004,0.081,98.691,1.203,0.004,0.015
urn:li:member:2191053,0.075,1.297,1.798,63.679,0.619,32.006,0.526
urn:li:member:671368,4.865,0.024,0.087,92.714,2.263,0.023,0.023
urn:li:member:588722,0.001,0.037,0.0,99.951,0.0,0.011,0.0
urn:li:member:853405,0.0,0.0,0.0,99.998,0.0,0.001,0.0
